Codigo;Autores;Titulo;Año;Programa
T-M-302;LAREDEO ARANCIBIA, Andrea Cristina;Informe del taller de simulación de negocios. Area: gerencia general. Empresa: Bojeans S.R.L.;2015;Magister en Comercio Exterior y Aduanas. Informe de taller de simulación
T-M-303;CORTEZ AMURRIO, Andrea;Informe de simulación de finanzas empresariales. Area: Gerencia de abastecimiento y logística. Empresa: Bluz jeans;2015;Magister en Finanzas Corporativas Mención: Gestión Financiera. Informe de taller de simulación
T-M-304;ROCHA LAFUENTE, Cecilia;Informe de simulación de finanzas empresariales. Area: gerencia de planificación estratégica. Empresa: Race jeans;2015;Magister en Finanzas Corporativas. Mención: Inversión Bursátil. Informe de taller de  simulación
T-M-305;ALFARO FLORES, Faviola;Modelo de gestión financiera caso: Embotelladora Agua Pura;2016;Magister en Finanzas Corporativas. Mención: Inversión Bursátil. Informe de exploración investigativa
T-M-306;TERAN PINO, Roberto Carlos;Inconstitucionalidad de la retroactividad administrativa en materia tributaria;2016;Magister en Gestión Tributaria. Tesis
T-M-307;CLAROS SORIA, Harold Arturo;Informe de simulación de negocios. Area: gerencia general. Empresa: Mithology jeans;2016;Magister en Gestión Estratégica. Mención:Recursos Humanos. Informe de taller de  simulación
T-M-308;CONDORI VILLCA, Yuguen;Análisis estratégico de exportación competitiva de la quinua real orgánica. Caso: comunidad de Mara Mara - Oruro;2016;Magister en Comercio Exterior y Aduanas. Informe de exploración invastigativa e intervención
T-M-309;SOZA CLAROS, Sandra Liliana;Plan estratégico financiero para MYPES del rubro de confección de jeans en la ciudad de Cochabamba;2016;Magister en Finanzas Corporativas. Informe de exploración investigativa e intervención
T-M-310;HURTADO LAIME, Carlos Alberto;"Estrategias de reposicionamiento para la empresa de servicios Industrial y Comercial Norte S.A. ""IC NORTE"" en la provincia Cercado de la ciudad de Cochabamba de la gestión 2016 a 2019";2016;Magister en Gestión Estratégica de Organizaciones. Informe de exploración investigativa e intervención
T-M-311;SALVATIERRA ALVARO, Mario Cidar;Informe de simulación de finanzas empresariales. Area: gerencia de finanzas. Empresa: Race jeans;2015;Magister en Finanzas Corporativas. Mención gestión financiera. Informe de taller de  simulación
T-M-312;ESCALERA GASPAR, Jhonny Marcelo;"Plan estrategico y financiero para la empresa ""Tamiva""";2016;Magister en Finanzas Corporativas. Informe de exploración investigativa e intervención
T-M-313;ARANIBAR ESPINOZA, Daniela;Informe de simulación de negocios. Area: gerencia de abastecimiento y logística. Empresa: Bojeans S.R.L.;2016;Magister en Comercio Exterior y Aduanas. Informe de taller de  simulación
T-M-314;MONTECINOS REVOLLO, José Alejandro;Metodología del Balanced Scorecard aplicada en organizaciones no lucrativas, para coadyuvar en su sostenibilidad económica de mediano y largo plazo;2016;Magister en Gestión de Proyectos. Informe de tesis
T-M-315;LIZARRAGA TERRAZAS, Roxana Carmen;Modelo de selección de talento humano por competencias para el punto de ventas en la corporación de farmacias FARMACORP, filial Cochabamba;2015;Magister en Gestión Estratégica de Organizaciones. Mención Recursos Humanos. Informe de tesis
T-M-316;RODRIGUEZ DEL VALLE, Josué Manuel;Propuesta: Marketing resonante como un nuevo enfoque organizacional para generar valor en 360°;2015;Magister en Gestión Estratégica de Organizaciones. Mención Marketing. Informe de tesis
T-M-317;MARQUEZ GONZALES, Julio Max;Propuesta normativa a efectos tributarios de la venta a plazos;2016;Magister en Gestión Tributaria. Informe de tesis
T-M-318;ZAMBRANA GOMEZ, Juan José;Informe del taller de simulación de negocios. Area: gerencia administrativa financiera. Empresa: Manufacturera pantalones Montana jeans;2016;Magister en Gestión Estratégica de Organizaciones. Mención en Gestión de Recirsos Humanos. Informe de taller de  simulación
T-M-319;GALLARDO GUTIERREZ, Daniela;<EL> efecto del impuesto al valor agregado (IVA) a operaciones no objeto del impuesto al valor agregado (IVA) en venta de bienes inmuebles;2017;Magister en Gestión Tributaria. Informe de exploración investigativa e intervención
T-M-320;MALDONADO ESCALERA, Rolando;Propuesta de una alícuota diferencial en el impuesto al valor agregado, para la leche fluida como bien de primera necesidad;2017;Magister en Gestión Tributaria. Informe de Tesis
T-M-321;ROJAS SALAZAR, Mildrett Carol;Metodología para la incorporación de la gestión de riesgo en la evaluación de créditos para proyectos de inversión en el sector lechero del departamento de Cochabamba;2017;Magister en Gestión de Proyectos. Informe de exploración investigativa e intervención
T-M-322;GOMEZ VARGAS, Nelson Emilio;Análisis de los proyectos productivos financiados por el FDPPIOYCC y su incidencia económica en las comunidades Indígenas del Trópico de Cochabamba;2017;Magister en Gestión de Proyectos. Informe de tesis
T-M-323;ZEBALLOS ALARCON, Brenely Arlen;Plan de exportación de la carne de pollo al Perú, para la empresa Pio Rico regional Santa Cruz;2016;Magister en Comercio Exterior y Aduanas. Informe de tesis
T-M-324;SEJAS VISCARRA, Sandra;Estructura y análisis de la cartera óptima para CIBRE IPD: Una aplicación de la teoría de portafolios y el modelo de treynorblack;2017;Magister en Finanzas Corporativas. Informe de exploración investigativa e intervención
T-M-325;BELTRAN VIVADO, Fernando Manuel;"Modelo de valoración económica para la empresa Centro Eco Turístico  ""Viva Vinto"" de la ciudad de Cochabamba";2017;Magister en Gestión Empresarial. Informe de tesis
T-M-326;LAIME SANDY, Miguel Efrain;Factores de corrección de precios de mercado para la estimación en los sectores de lácteos y textiles;2018;Magister en Gestión de Proyectos. Informe de Tesis
T-M-327;SANCHEZ SUBIETA, Julia Bettina;Estudio de la incorporación de la fase de sensibilización para el empoderamiento del proyecto en las etapas de preinversión y ejecución de acciones de desarrollo;2017;Magister en Gestión de Proyectos. Informe de Tesis
T-M-328;FLORES MONTAÑO, Milton;Estudio de la gestión del plan departamental de seguridad ciudadana 2012 - 2016, cado municipio de Cochabamba;2016;Magister en Gestión de Proyectos. Informe de tesis
